TIME,ETemp,STemp,GTemp,CH1,CH2,CH3,GPS
2023-02-21 00:00:00,43.61,42.34,-49.10,20814.17,947.31,50847.91,13
2023-02-21 00:01:00,43.60,42.33,-49.08,20813.01,946.92,50847.73,13
2023-02-21 00:02:00,43.59,42.34,-49.06,20811.16,946.63,50847.92,13
2023-02-21 00:03:00,43.59,42.33,-49.08,20811.08,947.24,50847.77,13
2023-02-21 00:04:00,43.61,42.34,-49.08,20810.15,947.61,50847.93,13
2023-02-21 00:05:00,43.60,42.34,-49.07,20810.12,948.06,50847.76,13
2023-02-21 00:06:00,43.59,42.34,-49.15,20809.02,947.93,50847.90,13
2023-02-21 00:07:00,43.60,42.33,-49.12,20809.36,948.05,50847.76,13
2023-02-21 00:08:00,43.61,42.34,-49.08,20809.24,947.51,50847.63,13
2023-02-21 00:09:00,43.59,42.34,-49.13,20809.20,947.74,50847.84,13
2023-02-21 00:10:00,43.60,42.33,-49.10,20808.52,947.97,50847.83,13
2023-02-21 00:11:00,43.61,42.34,-49.12,20808.49,948.36,50847.77,13
2023-02-21 00:12:00,43.60,42.34,-49.10,20809.59,948.59,50847.70,13
2023-02-21 00:13:00,43.62,42.34,-49.13,20810.08,948.99,50847.81,13
2023-02-21 00:14:00,43.59,42.34,-49.11,20808.87,949.48,50847.94,13
2023-02-21 00:15:00,43.60,42.34,-49.06,20808.52,949.29,50847.78,13
2023-02-21 00:16:00,43.59,42.34,-49.10,20809.46,948.42,50847.94,13
2023-02-21 00:17:00,43.59,42.33,-49.12,20810.93,947.91,50847.96,13
2023-02-21 00:18:00,43.59,42.34,-49.12,20811.81,948.49,50848.06,13
2023-02-21 00:19:00,43.61,42.33,-49.08,20809.96,948.36,50848.05,13
2023-02-21 00:20:00,43.61,42.34,-49.08,20809.94,949.23,50848.13,13
2023-02-21 00:21:00,43.59,42.34,-49.08,20809.92,949.09,50848.19,13
2023-02-21 00:22:00,43.61,42.33,-49.07,20810.97,948.06,50847.99,13
2023-02-21 00:23:00,43.59,42.33,-49.11,20811.52,947.97,50848.04,13
2023-02-21 00:24:00,43.60,42.33,-49.13,20812.10,948.32,50848.12,13
2023-02-21 00:25:00,43.61,42.34,-49.11,20811.99,947.77,50847.87,13
2023-02-21 00:26:00,43.61,42.34,-49.14,20810.68,947.01,50847.87,13
2023-02-21 00:27:00,43.60,42.33,-49.09,20810.65,949.20,50848.26,13
2023-02-21 00:28:00,43.61,42.34,-49.10,20807.42,948.45,50848.04,13
2023-02-21 00:29:00,43.60,42.34,-49.15,20810.77,949.31,50847.94,13
2023-02-21 00:30:00,43.60,42.34,-49.11,20808.63,948.25,50848.44,13
2023-02-21 00:31:00,43.61,42.34,-49.13,20809.73,948.14,50848.05,13
2023-02-21 00:32:00,43.61,42.34,-49.11,20809.04,948.31,50848.05,13
2023-02-21 00:33:00,43.61,42.34,-49.13,20808.02,948.53,50848.09,13
2023-02-21 00:34:00,43.60,42.34,-49.09,20809.03,948.95,50848.15,13
2023-02-21 00:35:00,43.61,42.33,-49.07,20808.40,949.43,50848.16,13
2023-02-21 00:36:00,43.60,42.34,-49.11,20808.25,949.21,50848.16,13
2023-02-21 00:37:00,43.60,42.34,-49.12,20807.82,948.87,50848.13,13
2023-02-21 00:38:00,43.60,42.34,-49.15,20808.26,948.80,50848.23,13
2023-02-21 00:39:00,43.61,42.33,-49.13,20808.44,948.15,50848.20,13
2023-02-21 00:40:00,43.60,42.35,-49.11,20809.38,949.00,50848.11,13
2023-02-21 00:41:00,43.60,42.33,-49.09,20809.24,948.88,50848.07,13
2023-02-21 00:42:00,43.61,42.35,-49.12,20809.95,948.88,50848.10,13
2023-02-21 00:43:00,43.60,42.34,-49.14,20810.08,949.10,50848.18,13
2023-02-21 00:44:00,43.61,42.34,-49.07,20810.89,948.73,50848.20,13
2023-02-21 00:45:00,43.60,42.34,-49.13,20812.00,948.29,50848.32,13
2023-02-21 00:46:00,43.60,42.33,-49.09,20812.45,948.27,50848.33,13
2023-02-21 00:47:00,43.60,42.34,-49.08,20812.12,948.73,50848.51,13
2023-02-21 00:48:00,43.60,42.34,-49.15,20811.60,948.82,50848.57,13
2023-02-21 00:49:00,43.60,42.35,-49.11,20811.86,948.75,50848.59,13
2023-02-21 00:50:00,43.60,42.35,-49.12,20811.74,948.76,50848.78,13
2023-02-21 00:51:00,43.59,42.34,-49.12,20812.05,948.68,50848.87,13
2023-02-21 00:52:00,43.60,42.35,-49.11,20812.97,948.07,50848.91,13
2023-02-21 00:53:00,43.60,42.34,-49.11,20813.08,947.20,50849.05,13
2023-02-21 00:54:00,43.60,42.35,-49.10,20813.59,947.12,50849.00,13
2023-02-21 00:55:00,43.58,42.33,-49.12,20813.96,946.95,50848.97,13
